gufi,timestamp,airport,minutes_until_pushback,round_dep_stand_est,temperature,wind_direction,wind_speed,wind_gust,cloud_ceiling,visibility,cloud,lightning_prob,precip,aircraft_engine_class,aircraft_type,major_carrier,flight_type,est_push_min,difference
AAL1007.DEN.AUS.220404.1520.0080.TFM,4/5/2022 14:00,KDEN,72,4/5/2022 15:26,59,30,29,38,7,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,87,15
AAL1007.DEN.AUS.220404.1520.0080.TFM,4/5/2022 14:15,KDEN,57,4/5/2022 15:26,59,30,29,38,7,7,OV,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,72,15
AAL1007.DEN.AUS.220404.1520.0080.TFM,4/5/2022 14:30,KDEN,42,4/5/2022 15:26,60,35,22,30,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,57,15
AAL1007.DEN.AUS.220404.1520.0080.TFM,4/5/2022 14:45,KDEN,27,4/5/2022 15:17,60,35,22,30,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,32,5
AAL1007.DEN.AUS.220404.1520.0080.TFM,4/5/2022 14:45,KDEN,27,4/5/2022 15:24,60,35,22,30,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,40,13
AAL1007.DEN.AUS.220404.1520.0080.TFM,4/5/2022 15:00,KDEN,12,4/5/2022 15:24,60,35,22,30,8,7,BK,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,25,13
AAL1007.DEN.AUS.220405.1520.0034.TFM,4/6/2022 14:00,KDEN,72,4/6/2022 15:30,40,32,26,34,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,91,19
AAL1007.DEN.AUS.220405.1520.0034.TFM,4/6/2022 14:15,KDEN,57,4/6/2022 15:30,40,32,26,34,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,76,19
AAL1007.DEN.AUS.220405.1520.0034.TFM,4/6/2022 14:30,KDEN,42,4/6/2022 15:30,40,32,23,31,8,7,FW,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,61,19
AAL1007.DEN.AUS.220405.1520.0034.TFM,4/6/2022 14:45,KDEN,27,4/6/2022 15:20,37,31,18,25,8,7,CL,N,FALSE,JET,B738,AAL,SCHEDULED_AIR_TRANSPORT,36,9
